id,handle,text,is_retweet,original_author,time,lang,retweet_count,favorite_count
762743923697672192,realDonaldTrump,".@NFIB encouraged by @realDonaldTrump’s #taxplan, says #smallbiz would benefit from lower tax rate: https://t.co/JCQCvXj9WC",True,NFIB,2016-08-08T20:14:57,en,3355,8126
762399410940706816,realDonaldTrump,CLINTON EMAIL LED TO EXECUTION IN IRAN? https://t.co/4rY1faptL6,True,DRUDGE_REPORT,2016-08-07T21:25:58,en,8358,11823
761645207909568512,realDonaldTrump,FORMER HOSTAGE SAYS PLANE WAITED UNTIL MONEY ARRIVED... https://t.co/Uo0MS6w9OQ,True,DRUDGE_REPORT,2016-08-05T19:29:02,en,8810,13782
761645187986620416,realDonaldTrump,'Win-lose deal that benefits Iran and hurts United States'... https://t.co/zqpeNCouXc,True,DRUDGE_REPORT,2016-08-05T19:28:58,en,5100,9219
760888078605090821,realDonaldTrump,"Join me in Colorado, today! Look forward to seeing you!

Denver- 2pm
https://t.co/8VbvJYDa4F

Colorado Springs- 6pm
https://t.co/GZwqr4NbR0",True,mike_pence,2016-08-03T17:20:29,en,3366,11462
760550754692263936,realDonaldTrump,Democrat Fire Marshal Turns THOUSANDS of Trump Supporters Away at Columbus Rally https://t.co/TO8oE5cv8Z via @gatewaypundit,True,gatewaypundit,2016-08-02T19:00:04,en,5040,9071
760289166324215808,realDonaldTrump,".@realDonaldTrump stops by overflow room in Mechanicsburg, Pennsylvania- prior to main rally. #TrumpMovement #MAGA🇺🇸 https://t.co/aFLka9ZJRn",True,DanScavino,2016-08-02T01:40:37,en,7632,17418
758690714268143616,realDonaldTrump,"Good morning! Join me in Lima, Ohio - tomorrow evening at 7pm. #MAGA
Tickets: https://t.co/sNfhyGeaAH",True,mike_pence,2016-07-28T15:48:56,en,3234,10873
758685974637473793,realDonaldTrump,"Trump makes a funny, obvious joke about Russia going after Hillary's emails &amp; U.S. media goes insane with fury.
He plays them so easily....",True,piersmorgan,2016-07-28T15:30:06,en,16805,39864
758681061786263552,realDonaldTrump,Obama Refers to Himself 119 Times During Hillary Nominating Speech... https://t.co/TyJI2DuqEk,True,DRUDGE_REPORT,2016-07-28T15:10:35,en,7815,13957
754992591402328064,realDonaldTrump,STILL AHEAD: @realDonaldTrump joins us at 7am/et! #RNCinCLE https://t.co/TzGbDs88b3,True,foxandfriends,2016-07-18T10:53:55,en,1951,8346
749263772703985664,realDonaldTrump,"Reminder: last year, Clinton pledged she had turned over all work-related email under penalty of perjury ⬇️ https://t.co/X4R7LnsSoy",True,GOP,2016-07-02T15:29:38,en,6843,10868
746059859951509504,realDonaldTrump,Trump's speech today is the best persuasion I have ever seen. Game over. Now running unopposed:  https://t.co/P7fHEMP6Uw #Trump #Clinton,True,ScottAdamsSays,2016-06-23T19:18:26,en,5530,11435
746035913814310912,realDonaldTrump,".@JerryJrFalwell: ""I was so impressed by [@realDonaldTrump's] speech yesterday. He was the best I've ever seen him."" https://t.co/f0E4Upmj4b",True,FoxBusiness,2016-06-23T17:43:17,en,3880,9637
743827444960899073,realDonaldTrump,"Honored to pray for my friend, @realDonaldTrump, at tonight's Dallas rally. #TrumpDallas c: @DanScavino https://t.co/BcgWuszPnu",True,robertjeffress,2016-06-17T15:27:37,en,4469,13227
743520455873683456,realDonaldTrump,Flying to Dallas now with @realDonaldTrump...Reports of discord are pure fiction. Great events lined up all over Texas.  Rs will win in Nov!,True,Reince,2016-06-16T19:07:45,en,6373,15387
743215968869097473,realDonaldTrump,"Trump's speech today was Churchillian, only better.  You can tell by the spluttering hysteria on TV about @realDonaldTrump.",True,AnnCoulter,2016-06-15T22:57:49,en,5135,13314
742781221260922883,realDonaldTrump,HAPPY 241st BIRTHDAY to the @USArmy! THANK YOU! https://t.co/mXsxkfcstC,True,realDonaldTrump,2016-06-14T18:10:18,en,10277,36015
742442391219646464,realDonaldTrump,Anyone who plans to talk about Trump ever again has to see this speech.  Your opinion is irrelevant unless you listened to him today.,True,AnnCoulter,2016-06-13T19:43:54,en,8526,20361
740655290618642432,realDonaldTrump,Graph: @RealDonaldTrump's Historic 13 Million Primary Votes Compared To Every GOP Nominee Since 1908 https://t.co/vNpfaSZ8we,True,seanhannity,2016-06-08T21:22:36,en,5102,11656
739857921140527104,realDonaldTrump,"My next project is pretty amazing…!
xx, Ivanka https://t.co/Ucq3dz20sQ https://t.co/f60biSURQ7",True,IvankaTrump,2016-06-06T16:34:08,en,2299,8313
738901792210194432,realDonaldTrump,WATCH NOW: The @realDonaldTrump supporters you'd never expect https://t.co/jKeVJX5u73 https://t.co/pbft0Eq3Y1,True,CBSNews,2016-06-04T01:14:50,en,3309,6743
738538744911822848,realDonaldTrump,"Beautiful article about @realDonaldTrump written by my friend, the incredibly talented golfer Natalie Gulbis:
https://t.co/Jgs3TJxQUM",True,IvankaTrump,2016-06-03T01:12:12,en,2782,7908
734405641893249024,realDonaldTrump,BREAKING POLL: Trump Gains 11 Points on Clinton Since March=&gt; Now Leads Crooked Hillary 46-44 https://t.co/y3BGy15Erb via @gatewaypundit,True,gatewaypundit,2016-05-22T15:28:44,en,4377,10577
730452843983998976,realDonaldTrump,'Duck Dynasty' star Phil Robertson says he'll back Trump for president https://t.co/WPJjMPYjlK via @MailOnline,True,dmartosko,2016-05-11T17:41:43,en,3901,10271
730129098010447873,realDonaldTrump,"LOUISIANA GENERAL ELECTION
Donald Trump vs. Hillary Clinton
#MakeAmericaGreatAgain #Trump2016 https://t.co/74vYOx7dKz",True,DanScavino,2016-05-10T20:15:16,en,4146,10770
730127671150129152,realDonaldTrump,"OHIO GENERAL ELECTION
Donald Trump vs. Hillary Clinton
#MakeAmericaGreatAgain #Trump2016 https://t.co/0yXQ4SFSLO",True,DanScavino,2016-05-10T20:09:36,en,4136,10347
729771731003551744,realDonaldTrump,interesting poll results so far (and go vote on https://t.co/0Zv2YvEdRX) https://t.co/BnsRf9GSxC,True,greta,2016-05-09T20:35:13,en,4611,9282
