id,handle,text,is_retweet,original_author,time,lang,retweet_count,favorite_count
779453173610213376,HillaryClinton,"I wouldn't tolerate anyone talking to my daughter like that, and she wouldn't either. https://t.co/ZExu0ZacWS",True,timkaine,2016-09-23T22:51:32,en,10548,19228
779428731228196864,HillaryClinton,"The Enquirer editorial board is endorsing Hillary Clinton for president, breaking a nearly century-long tradition of endorsing Republicans.",True,Enquirer,2016-09-23T21:14:25,en,3141,5148
779409689876566016,HillaryClinton,I’ve released 9 years of tax returns. RT if you agree it’s time for Donald Trump to release his! https://t.co/08whtFVC0r,True,tedcruz,2016-09-23T19:58:45,en,8721,7853
779335288283947008,HillaryClinton,Every Voice is proud to endorse @HillaryClinton for president. https://t.co/S30v1eZtCm https://t.co/2YUAG4wPJu,True,EveryVoice,2016-09-23T15:03:06,en,1165,2521
779311437663600641,HillaryClinton,"Editorial board: Clinton would be a smart, pragmatic president. Trump would be a catastrophe.… https://t.co/GVsU7ogGPO",True,latimes,2016-09-23T13:28:20,en,4876,7833
778976591770714112,HillaryClinton,Holding back tears right now. For those of us that didn't grow up with #ADA this is amazing. #imwithher #CripTheVote,True,RachaelGass,2016-09-22T15:17:46,en,452,1293
778957908990189568,HillaryClinton,.@HillaryClinton sits down Between Two Ferns with Zach Galifianakis for her most memorable interview yet. https://t.co/169e3KxEyE,True,funnyordie,2016-09-22T14:03:32,en,28387,45833
778765262933880832,HillaryClinton,Trump mocks people with disabilities. Hillary Clinton wants to expand their job opportunities https://t.co/GuuwvJgwER,True,YoungPwD4HRC,2016-09-22T01:18:02,en,1572,3188
778705291168755712,HillaryClinton,"Happy anniversary! 4 years ago today, Romney released his 2011 tax returns (which Trump urged him to do). Where are… https://t.co/Aho8vMnwSP",True,TheBriefing2016,2016-09-21T21:19:43,en,3404,4540
778670400830070784,HillaryClinton,The ADA and the notion that workplaces and public spaces belong to everyone was one that Democrats and Republicans could both get behind.,True,HFA,2016-09-21T19:01:05,en,478,1444
