id,handle,text,is_retweet,original_author,lang
778705291168755712,HillaryClinton,"Happy anniversary! 4 years ago today, Romney released his 2011 tax returns (which Trump urged him to do). Where are… https://t.co/Aho8vMnwSP",True,TheBriefing2016,en
778670400830070784,HillaryClinton,The ADA and the notion that workplaces and public spaces belong to everyone was one that Democrats and Republicans could both get behind.,True,HFA,en
778669685474811904,HillaryClinton,One of Hillary's first jobs out of law school was to find out why kids with disabilities weren't in school. https://t.co/vPMCYQmbls,True,HFA,en
778669114063806464,HillaryClinton,"Not that long ago, if you had a disability, it defined your entire life. Basic, essential things that others could do, you couldn’t.",True,HFA,en
778668146966335488,HillaryClinton,"It's still legal to pay disabled workers less than the minimum wage and Clinton announces her plan to end that:
https://t.co/vEgIqMkmmg",True,feministabulous,en
778292079231377408,HillaryClinton,NEW: @realdonaldtrump used more $250K+ from his charity to pay off legal settlements of his for-profit businesses.   https://t.co/Fa1RooYWMT,True,Fahrenthold,en
778254419678859265,HillaryClinton,"Trump cannot be trusted with his own charity, but we are supposed to believe he can manage the nation’s treasury? https://t.co/DtX6C7Rftb",True,SenatorReid,en
778251997019537408,HillaryClinton,"""Our identities do not have to be defined by putting someone else down but can be enhanced by lifting someone else up"" —@POTUS at #UNGA",True,WhiteHouse,en
778063499956195329,HillaryClinton,"""No one has the right to immigrate to this country."" —Donald Trump during his rally in Florida today

We disagree. https://t.co/9gS9q5vQS9",True,HillaryforOH,en
777952999100522496,HillaryClinton,"When @HillaryClinton says she’s going to make public colleges and universities tuition-free, you know what? That's a very big deal.",True,BernieSanders,en
777914352884146176,HillaryClinton,Go to https://t.co/SvSvlg48vI and register to vote today. Register your friends. Register everyone you know.,True,HFA,en
777911385200230400,HillaryClinton,No one gets through life alone. We have to look out for each other and lift each other up. https://t.co/FEStrnjjOO,True,HFA,en
777910791110623232,HillaryClinton,"""No one will work harder to make your life better. I’ll never stop, no matter how tough it gets."" —Hillary https://t.co/TyXrp8PgsW",True,HFA,en
777889026661556224,HillaryClinton,"Not only is @realDonaldTrump wrong on birtherism, his words and policies are bad for Americans alive now and our children yet to be born.",True,RevDrBarber,en
777868477310918656,HillaryClinton,"Want to do a small part to help defeat Trump in November? RT this link and get everyone registered, and confirmed. https://t.co/1R7UN7e0a0",True,GeorgeTakei,en
777858612727250948,HillaryClinton,.@HillaryClinton wrote for us about what millennials have taught her during this election: https://t.co/SlMZZ1C19f https://t.co/qNUEzbQeYR,True,mic,en
777642761579270144,HillaryClinton,We've got 51 days left to win this thing. Make sure you're ready: https://t.co/B21QKpeiSj https://t.co/nZTkkuxtDP,True,timkaine,en
777636788814880770,HillaryClinton,FACT: The @ClintonFdn spends 87% on its life changing work: https://t.co/z0zW4Axdbc https://t.co/GtI94aBp4m,True,ClintonFdn,en
777605055834890242,HillaryClinton,"So, what do the candidates’ foundations do again? https://t.co/PVrx1SeUxs",True,TheBriefing2016,en
777578838498873344,HillaryClinton,"When we stand together - as white, black and hispanic, gay and straight, women and men - we trump hate. https://t.co/B8aVUwudDc",True,BernieSanders,en
777195717978910720,HillaryClinton,"When your friends say they won't vote, ask how much student debt they have. There's only one candidate who will make college affordable.",True,BernieSanders,en
776799805964255232,HillaryClinton,"It's been 5 years, and Trump's still pushing the notion that @POTUS isn't American. https://t.co/TApNqSOcvN",True,timkaine,en
776796015466807296,HillaryClinton,My dad was born in Poland. Do you know how many people ever asked me whether or not I was born in America? Nobody ever asked me that.,True,SenSanders,en
776606300738314244,HillaryClinton,Immigrants aren’t somehow changing the American character; immigrants are the American character. https://t.co/S2vtM157TI,True,WhiteHouse,en
776536090643689472,HillaryClinton,Celebrating #HispanicHeritageMonth with @HillaryClinton's quotes read by @DNCLatinos. 🇺🇸 https://t.co/BEPgn0hQNd,True,Jorge_Silva,en
776530140998295553,HillaryClinton,"Love this.

""@HillaryClinton has spent her life fighting for children—here are 8 ways she’s changed their lives."" 

https://t.co/7goGIa0Ag0",True,SenGillibrand,en
776484189977837568,HillaryClinton,People have seen almost 40 years of tax returns from Hillary. One set from Trump really isn't too much to ask. https://t.co/K3oyDiIUlq,True,timkaine,en
776454788645003264,HillaryClinton,"An unsurprising Nazi reference from the ""alt-right"" movement's presidential campaign. This is the real Trump. https://t.co/HOUgRC8343",True,Evan_McMullin,en
776407898238877696,HillaryClinton,".@HillaryClinton stands by @RealDonaldTrump running a deplorable campaign.  His comments have been bigoted, mean and untrue.",True,TJMShow,en
776248216597721088,HillaryClinton,"Congratulations to Carla Hayden, sworn in today as 14th #LibrarianOfCongress! Follow her at @LibnOfCongress https://t.co/d6cyBNEfUV",True,librarycongress,en
776231971022376960,HillaryClinton,This is the America I believe in-Beautiful. Multifaceted. Loving. Inclusive. This is why I'm passionate https://t.co/ia363mFPv8 #WeTrumpHate,True,SophiaBush,en
776210505300054016,HillaryClinton,"People are making less real wages than 18 years ago, Trump says in Ohio. ""Me, I’m working harder also so I don’t feel sorry for any of you.""",True,JenniferJJacobs,en
776146554277289988,HillaryClinton,Attention lawyers &amp; law students: Help @HillaryClinton protect the right to vote. Sign up &amp; share with your friends: https://t.co/FPdlNX35BF,True,marceelias,en
776138180517040129,HillaryClinton,Hillary applauds the agreement on a new memorandum of understanding regarding U.S. security assistance to Israel. https://t.co/NDnDsVKODP,True,rosenbergerlm,en
776127586564968448,HillaryClinton,Hillary Clinton has some questions for Donald Trump after reading that @Newsweek article. https://t.co/jfyKQFBpFL,True,TwitterMoments,en
776051645297913856,HillaryClinton,In @Newsweek: A Pres Trump could not conduct US foreign policy w/o affecting his personal bank account.  https://t.co/A1Xw4IlxUX,True,kurteichenwald,en
776047278364758016,HillaryClinton,"In @Newsweek: Trump Organization business would place national security at risk, even undermining the war on ISIS. https://t.co/A1Xw4IlxUX",True,kurteichenwald,en
776042470836695040,HillaryClinton,Our latest cover story: Trump's foreign ties could upend U.S. national security interests https://t.co/44RNvOMham https://t.co/3sXNDP3HNE,True,Newsweek,en
775848325199323136,HillaryClinton,"Like most of Trump’s plans, the details of his paid leave proposal aren't serious. https://t.co/os0sznIEju",True,TheBriefing2016,en
775795472732659712,HillaryClinton,Why @HillaryClinton is the best choice to lead the US economy (via @AndreaJung9) https://t.co/Ij9chfRugD #election2016,True,CNBCopinion,en
775740736868323328,HillaryClinton,Every woman in this country deserves to be free from harm and from fear. Proud to celebrate 22 years of the Violence Against Women Act. -Joe,True,JoeBiden,en
775714298966450176,HillaryClinton,.@HillaryClinton's HBCU plan is really smart. Addresses so many critical issues around access &amp; debt. I'm impressed. https://t.co/KqmOIek5II,True,texasinafrica,en
775422234148175882,HillaryClinton,"🎓 Tuition
📚 Books
🏡 Room and board
🍕 Food
College adds up. @HillaryClinton wants to help you save: https://t.co/uRn5JlFs8u",True,CollegeDems,en
