id,handle,text,is_retweet,original_author,lang
760289166324215808,realDonaldTrump,".@realDonaldTrump stops by overflow room in Mechanicsburg, Pennsylvania- prior to main rally. #TrumpMovement #MAGA🇺🇸 https://t.co/aFLka9ZJRn",True,DanScavino,en
758690714268143616,realDonaldTrump,"Good morning! Join me in Lima, Ohio - tomorrow evening at 7pm. #MAGA
Tickets: https://t.co/sNfhyGeaAH",True,mike_pence,en
758685974637473793,realDonaldTrump,"Trump makes a funny, obvious joke about Russia going after Hillary's emails &amp; U.S. media goes insane with fury.
He plays them so easily....",True,piersmorgan,en
758681061786263552,realDonaldTrump,Obama Refers to Himself 119 Times During Hillary Nominating Speech... https://t.co/TyJI2DuqEk,True,DRUDGE_REPORT,en
754992591402328064,realDonaldTrump,STILL AHEAD: @realDonaldTrump joins us at 7am/et! #RNCinCLE https://t.co/TzGbDs88b3,True,foxandfriends,en
749263772703985664,realDonaldTrump,"Reminder: last year, Clinton pledged she had turned over all work-related email under penalty of perjury ⬇️ https://t.co/X4R7LnsSoy",True,GOP,en
746059859951509504,realDonaldTrump,Trump's speech today is the best persuasion I have ever seen. Game over. Now running unopposed:  https://t.co/P7fHEMP6Uw #Trump #Clinton,True,ScottAdamsSays,en
746035913814310912,realDonaldTrump,".@JerryJrFalwell: ""I was so impressed by [@realDonaldTrump's] speech yesterday. He was the best I've ever seen him."" https://t.co/f0E4Upmj4b",True,FoxBusiness,en
743827444960899073,realDonaldTrump,"Honored to pray for my friend, @realDonaldTrump, at tonight's Dallas rally. #TrumpDallas c: @DanScavino https://t.co/BcgWuszPnu",True,robertjeffress,en
743520455873683456,realDonaldTrump,Flying to Dallas now with @realDonaldTrump...Reports of discord are pure fiction. Great events lined up all over Texas.  Rs will win in Nov!,True,Reince,en
743215968869097473,realDonaldTrump,"Trump's speech today was Churchillian, only better.  You can tell by the spluttering hysteria on TV about @realDonaldTrump.",True,AnnCoulter,en
742781221260922883,realDonaldTrump,HAPPY 241st BIRTHDAY to the @USArmy! THANK YOU! https://t.co/mXsxkfcstC,True,realDonaldTrump,en
